
NU_ANO_CENSO,UNIDGEO,NO_CATEGORIA,NO_DEPENDENCIA,EDU_BAS_CAT_1,EDU_BAS_CAT_2,EDU_BAS_CAT_3,EDU_BAS_CAT_4,EDU_BAS_CAT_5,EDU_BAS_CAT_6
2024,Brasil,Total,Total,25.8,31,19.7,13.3,8,2.2
2024,Brasil,Urbana,Total,22.5,34,19.4,14.8,6.9,2.4
2024,Brasil,Rural,Total,33.9,23.8,20.6,9.7,10.8,1.2
2024,Brasil,Total,Federal,1.3,15.4,29.9,36.7,15.8,0.9
2024,Brasil,Urbana,Federal,1.3,14.5,30.1,36.3,16.8,1
2024,Brasil,Rural,Federal,1.1,21.3,28.7,39.4,9.5,0
2024,Brasil,Total,Estadual,5.9,18.8,21.4,32,15.4,6.5
2024,Brasil,Urbana,Estadual,3.2,18.8,19.4,34.5,16.5,7.6
2024,Brasil,Rural,Estadual,18.4,18.8,30.4,20.1,10.5,1.8
2024,Brasil,Total,Municipal,28.1,36,19.2,6.3,8.9,1.5
2024,Brasil,Urbana,Municipal,22.4,44.7,19,4.6,7.3,2
2024,Brasil,Rural,Municipal,35.7,24,19.5,8.5,11.1,1.2
2024,Brasil,Total,Privada,34.2,27.4,19.7,18,0.5,0.2
2024,Brasil,Urbana,Privada,34.2,27.1,19.8,18.2,0.5,0.2
2024,Brasil,Rural,Privada,34.2,44.6,15.1,5.9,0,0.2
2024,Brasil,Total,Pública,23.2,32.2,19.7,11.9,10.3,2.7
2024,Brasil,Urbana,Pública,16.9,37.3,19.2,13.2,9.9,3.5
2024,Brasil,Rural,Pública,33.9,23.5,20.6,9.8,11,1.2
2024,Norte,Total,Total,20.7,30.6,26.2,9.8,11,1.7
2024,Norte,Urbana,Total,7.8,42.9,22.5,12.6,11.4,2.8
2024,Norte,Rural,Total,29.1,22.6,28.7,7.9,10.8,0.9
2024,Norte,Total,Federal,0,13.4,36.6,37.8,11,1.2
2024,Norte,Urbana,Federal,0,8.5,33.8,43.7,12.7,1.3
2024,Norte,Rural,Federal,0,45.5,54.5,0,0,0
2024,Norte,Total,Estadual,11.4,18.4,27.2,21.7,17.7,3.6
2024,Norte,Urbana,Estadual,2.3,22.3,24.1,23.3,22.6,5.4
2024,Norte,Rural,Estadual,24.5,12.9,31.7,19.3,10.8,0.8
2024,Norte,Total,Municipal,23.6,32.9,26.1,5.7,10.6,1.1
2024,Norte,Urbana,Municipal,7.4,56.2,20.5,3.8,9.9,2.2
2024,Norte,Rural,Municipal,29.9,23.8,28.3,6.4,10.8,0.8
2024,Norte,Total,Privada,16.5,37.4,24.9,19.7,0.8,0.7
2024,Norte,Urbana,Privada,16.5,37.1,24.8,19.9,0.8,0.9
2024,Norte,Rural,Privada,15.1,47.2,26.4,11.3,0,0
2024,Norte,Total,Pública,21.1,30,26.4,8.9,12,1.6
2024,Norte,Urbana,Pública,5.6,44.4,21.8,10.7,14.1,3.4
2024,Norte,Rural,Pública,29.2,22.5,28.7,7.9,10.8,0.9
2024,Nordeste,Total,Total,23.1,30.1,18.6,13,13.2,2
2024,Nordeste,Urbana,Total,15.3,36.8,20.4,13.5,12,2
2024,Nordeste,Rural,Total,33.1,21.7,16.4,12.5,14.7,1.6
2024,Nordeste,Total,Federal,1.3,9.9,27,40.8,21,0
2024,Nordeste,Urbana,Federal,1,10.9,27.9,39.8,20.4,0
2024,Nordeste,Rural,Federal,3.1,3.1,21.9,46.9,25,0
2024,Nordeste,Total,Estadual,5.4,20.3,16.3,27.7,26,4.3
2024,Nordeste,Urbana,Estadual,1.5,19.4,16.7,29.6,28.4,4.4
2024,Nordeste,Rural,Estadual,21.1,23.8,15,20.1,16.5,3.5
2024,Nordeste,Total,Municipal,26.6,29.4,17.1,10.4,14.6,1.9
2024,Nordeste,Urbana,Municipal,16.7,41,17.8,7.8,14.3,2.4
2024,Nordeste,Rural,Municipal,33.7,21.1,16.5,12.2,14.8,1.7
2024,Nordeste,Total,Privada,20.5,38.9,25.9,14.2,0.3,0.2
2024,Nordeste,Urbana,Privada,19.9,38.5,26.4,14.6,0.3,0.3
2024,Nordeste,Rural,Privada,36,49,13.5,1.3,0,0.2
2024,Nordeste,Total,Pública,23.7,28.1,17,12.8,16.1,2.3
2024,Nordeste,Urbana,Pública,13.2,36,17.6,12.9,17.4,2.9
2024,Nordeste,Rural,Pública,33,21.2,16.5,12.6,14.9,1.8
2024,Sudeste,Total,Total,30.3,32.1,16.7,14.3,4.2,2.4
2024,Sudeste,Urbana,Total,28.2,32.7,16.7,15.3,4.5,2.6
2024,Sudeste,Rural,Total,49.3,27.2,16.6,4.5,2,0.4
2024,Sudeste,Total,Federal,1.9,20.3,34.3,29.5,11.6,2.4
2024,Sudeste,Urbana,Federal,2.2,19.5,35.1,27.6,13,2.6
2024,Sudeste,Rural,Federal,0,27.3,27.3,45.4,0,0
2024,Sudeste,Total,Estadual,3.8,20.9,17.2,36.3,12,9.8
2024,Sudeste,Urbana,Estadual,3.6,21.1,15.4,37.2,12.3,10.4
